user_id,feat_max_late_streak,feat_pay_velocity,critical_utilization_count
1.0,3,0.0,0
2.0,6,0.15379534504013756,0
3.0,6,0.12588473795064756,0
4.0,6,-0.0025027143316832348,3
5.0,4,-0.19714431228152193,0
6.0,6,-0.005804808954004721,3
7.0,6,-0.004121160470948478,3
8.0,1,0.04883580763862453,0
9.0,6,0.09346526772538206,0
10.0,2,-6503.500000000001,0
11.0,4,-0.050823427391814814,0
12.0,2,-1.1759034213991482,0
13.0,2,-0.49992308875557606,0
14.0,6,-0.022460805893715467,4
15.0,6,0.0018938070560240068,0
16.0,6,-0.0026489207947419566,1
17.0,6,0.0,3
18.0,4,-0.014892384510607334,0
19.0,0,0.0,0
20.0,0,0.0,0
21.0,5,18.084686456126047,0
22.0,2,-316.0,0
23.0,6,-0.021136925970712404,0
24.0,3,564.0,0
25.0,3,0.009451933689860859,0
26.0,6,-0.008126254415353177,1
27.0,1,1.8047112462006087,0
28.0,6,-0.01615601543368374,0
29.0,2,-7.454679078882901,0
30.0,6,-0.027920482465937018,0
31.0,1,-0.4663298565840937,0
32.0,6,-0.00687491771145853,0
33.0,6,-0.0032247563827493366,1
34.0,1,-1.877261080700798,0
35.0,2,0.07253494522077138,0
36.0,1,0.30639913232104127,0
37.0,6,0.00020853344138703026,0
38.0,4,0.016531804297733377,0
39.0,1,0.0,0
40.0,3,-0.3597214456300768,0
41.0,6,-0.13902375964697694,1
42.0,6,-0.0006755144564615049,6
43.0,6,0.01421995523461391,0
44.0,6,-0.009624345011249405,0
45.0,6,-0.03966679888932964,0
46.0,0,0.0,0
47.0,2,-0.010219067433606658,0
48.0,4,0.0,0
49.0,2,0.16237778996209654,0
50.0,6,0.0032832643183010324,5
51.0,6,0.01905342580595991,0
52.0,6,-0.010206253129739282,0
53.0,3,-0.15841230109064905,0
54.0,6,-0.0023527843330970835,0
55.0,6,0.12285798311553897,0
56.0,2,-75.5,0
57.0,4,0.0726343728352532,0
58.0,6,0.00034886501470093867,4
59.0,2,0.0,0
60.0,6,0.014928184419198567,5
61.0,6,0.03074614391251973,0
62.0,6,-0.060536352079423705,3
63.0,6,-0.043010129127039366,0
64.0,2,0.0,0
65.0,1,-1176.5,0
66.0,6,0.04479066141007981,0
67.0,5,-0.006123795199037847,0
68.0,1,0.04115538845799449,0
69.0,2,0.9493852459016394,0
70.0,6,-0.013822846400530794,2
71.0,1,0.0,0
72.0,6,-0.028346492307297532,0
73.0,3,0.21966840643184357,0
74.0,1,-1179.5,0
